"NAZEV";"CU_HNO3";"PB_HNO3";"ZN_HNO3"
"Ceske Budijovice";1,54756250871601;1,85629799036563;2,24070968927596
"Ceske Budijovice";1,56861591791385;2,28238238567653;2,24070968927596
"Ceske Budijovice";1,45861502269952;2,26176309847379;2,26176309847379
"Ceske Budijovice";1,88706964903238;2,30258509299405;2,26176309847379
"Ceske Budijovice";1,41098697371026;2,76000994003292;2,27212588550934
"Ceske Budijovice";1,66770682055808;2,56494935746154;2,27212588550934
"Ceske Budijovice";1,82454929205105;2,45100509811232;2,27212588550934
"Ceske Budijovice";1,90210752639692;2,12823170584927;2,27212588550934
"Ceske Budijovice";1,42551507427317;2,29253475714054;2,27624111765444
"Ceske Budijovice";1,7227665977411;1,94591014905531;2,28238238567653
"Ceske Budijovice";1,7404661748405;2,2512917986065;2,28238238567653
"Ceske Budijovice";1,90210752639692;1,85629799036563;2,28238238567653
"Ceske Budijovice";1,46787434811231;2,26176309847379;2,28543893415908
"Ceske Budijovice";1,3609765531356;1,87180217690159;2,29253475714054
"Ceske Budijovice";1,54756250871601;2,46809953147162;2,29253475714054
"Ceske Budijovice";1,62924053973028;2,00148000021012;2,29253475714054
"Ceske Budijovice";1,88706964903238;2,11625551480255;2,29253475714054
"Ceske Budijovice";1,25276296849537;2,14006616349627;2,30258509299405
"Ceske Budijovice";1,38629436111989;2,02814824729229;2,30258509299405
"Ceske Budijovice";1,62924053973028;2,09186406167839;2,30258509299405
"Ceske Budijovice";1,97408102602201;2,4595888418037;2,30258509299405
"Ceske Budijovice";1,7630170003624;2,40694510831829;2,30558060197383
"Ceske Budijovice";1,79175946922805;2,79116510781272;2,30757263450508
"Ceske Budijovice";0,587786664902119;2,45100509811232;2,31253542384721
"Ceske Budijovice";0,587786664902119;2,45100509811232;2,31253542384721
"Ceske Budijovice";1,41098697371026;2,33214389523559;2,31253542384721
"Ceske Budijovice";2,31253542384721;2,34180580614733;2,31253542384721
"Ceske Budijovice";1,47017584510059;2,484906649788;2,31944221006047
"Ceske Budijovice";1,06471073699243;2,16332302566054;2,32238772029022
"Ceske Budijovice";1,38629436111989;1,96009478404727;2,32238772029022
"Ceske Budijovice";1,66770682055808;2,06686275947298;2,32238772029022
"Ceske Budijovice";1,30833281965018;2,3887627892351;2,33214389523559
"Ceske Budijovice";1,50407739677627;2,37954613413017;2,33214389523559
"Ceske Budijovice";1,87180217690159;2,51769647261099;2,34180580614733
"Ceske Budijovice";0,587786664902119;2,74727091425549;2,35137525716348
"Ceske Budijovice";0,587786664902119;2,74727091425549;2,35137525716348
"Ceske Budijovice";1,30833281965018;2,07944154167984;2,35137525716348
"Ceske Budijovice";1,66770682055808;2,37954613413017;2,35137525716348
"Ceske Budijovice";1,85629799036563;2,07944154167984;2,35137525716348
"Ceske Budijovice";1,85629799036563;2,37024374146785;2,35137525716348
"Ceske Budijovice";1,93152141160321;2,21920348405499;2,35137525716348
"Ceske Budijovice";1,96009478404727;2,2082744135228;2,35137525716348
"Ceske Budijovice";1,36863942588117;2,484906649788;2,35422832614587
"Ceske Budijovice";1,71379792775834;2,45100509811232;2,35422832614587
"Ceske Budijovice";1,73165554515835;2,40694510831829;2,35991015961332
"Ceske Budijovice";1,58923520511658;1,90210752639692;2,36085400111802
"Ceske Budijovice";1,55814461804655;3,06805293513362;2,37024374146785
"Ceske Budijovice";1,55814461804655;3,06805293513362;2,37024374146785
"Ceske Budijovice";2,07944154167984;2,12823170584927;2,37024374146785
"Ceske Budijovice";1,7404661748405;2,34180580614733;2,37954613413017
"Ceske Budijovice";1,90210752639692;2,35137525716348;2,37954613413017
"Ceske Budijovice";1,91692261218206;2,45100509811232;2,37954613413017
"Ceske Budijovice";1,91692261218206;2,45100509811232;2,37954613413017
"Ceske Budijovice";1,95160817016995;2,55722731136763;2,3823200610129
"Ceske Budijovice";1,55603713570699;2,29253475714054;2,38508631450578
"Ceske Budijovice";1,79175946922805;2,46809953147162;2,38508631450578
"Ceske Budijovice";1,64865862558738;2,34180580614733;2,3887627892351
"Ceske Budijovice";1,84054963339749;2,10413415427021;2,3887627892351
"Ceske Budijovice";1,56234630490025;2,3887627892351;2,39516427428714
"Ceske Budijovice";1,66770682055808;2,4423470353692;2,39789527279837
"Ceske Budijovice";1,70474809223843;2,10413415427021;2,39789527279837
"Ceske Budijovice";1,84054963339749;2,09186406167839;2,39789527279837
"Ceske Budijovice";1,85629799036563;2,19722457733622;2,39789527279837
"Ceske Budijovice";2,00148000021012;2,46809953147162;2,39789527279837
"Ceske Budijovice";1,96009478404727;2,34180580614733;2,40694510831829
"Ceske Budijovice";2,14006616349627;2,70136121295141;2,40694510831829
"Ceske Budijovice";1,43270073393405;2,22570404865809;2,40784560365153
"Ceske Budijovice";1,57069708411767;2,40694510831829;2,41054223449914
"Ceske Budijovice";1,33500106673234;2,09186406167839;2,41591377830104
"Ceske Budijovice";1,45861502269952;3,07731226054641;2,41591377830104
"Ceske Budijovice";1,45861502269952;3,07731226054641;2,41591377830104
"Ceske Budijovice";1,48160454092422;2,15176220325946;2,41591377830104
"Ceske Budijovice";1,91692261218206;2,42480272571829;2,41591377830104
"Ceske Budijovice";2,02814824729229;2,10413415427021;2,41591377830104
"Ceske Budijovice";2,02814824729229;2,21920348405499;2,41591377830104
"Ceske Budijovice";1,66770682055808;1,79175946922805;2,42480272571829
"Ceske Budijovice";1,70474809223843;2,58021682959232;2,42480272571829
"Ceske Budijovice";1,7404661748405;2,01490302054226;2,42480272571829
"Ceske Budijovice";1,8213182714696;2,27315628230323;2,42480272571829
"Ceske Budijovice";1,30833281965018;2,36085400111802;2,43361335540045
"Ceske Budijovice";1,34025042261848;2,79116510781272;2,43361335540045
"Ceske Budijovice";1,34025042261848;2,79116510781272;2,43361335540045
"Ceske Budijovice";1,38629436111989;2,09186406167839;2,43361335540045
"Ceske Budijovice";1,48160454092422;2,16332302566054;2,43361335540045
"Ceske Budijovice";1,82454929205105;2,01490302054226;2,43361335540045
"Ceske Budijovice";2,00148000021012;2,3887627892351;2,43361335540045
"Ceske Budijovice";1,58719230348678;2,57261223020711;2,43449016387398
"Ceske Budijovice";1,7732559976635;2,4595888418037;2,43886271128659
"Ceske Budijovice";1,06471073699243;1,85629799036563;2,4423470353692
"Ceske Budijovice";1,28093384546206;2,31253542384721;2,4423470353692
"Ceske Budijovice";2,02814824729229;2,05412373369555;2,4423470353692
"Ceske Budijovice";1,87180217690159;2,40694510831829;2,45100509811232
"Ceske Budijovice";1,94591014905531;2,18605127673809;2,45100509811232
"Ceske Budijovice";1,88251383249652;2,32238772029022;2,45272775142376
"Ceske Budijovice";1,03673688495002;2,85070650150373;2,4595888418037
"Ceske Budijovice";1,03673688495002;2,85070650150373;2,4595888418037
"Ceske Budijovice";1,25276296849537;2,16332302566054;2,4595888418037
"Ceske Budijovice";1,28093384546206;2,01490302054226;2,4595888418037
"Ceske Budijovice";1,87180217690159;2,57261223020711;2,4595888418037
"Ceske Budijovice";1,04380405217311;2,53369681395743;2,46809953147162
"Ceske Budijovice";1,04380405217311;2,53369681395743;2,46809953147162
"Ceske Budijovice";1,54756250871601;2,19722457733622;2,46809953147162
"Ceske Budijovice";1,82454929205105;2,62466859216316;2,46809953147162
"Ceske Budijovice";1,90210752639692;2,01490302054226;2,46809953147162
"Ceske Budijovice";1,19392246847243;2,45100509811232;2,47653840011748
"Ceske Budijovice";1,64865862558738;2,2082744135228;2,47653840011748
